scenario_name,experiment_id,tier,model,seed,n_total_level,n_steps,arrivals_per_step,n_effective,brier,log_score,mae_prob,abs_error_outcome,calibration_ece,posterior_mean_bias,posterior_variance_ratio,posterior_variance,log_variance,coverage_90_ptrue,coverage_95_ptrue,p_hat,rate_var_vs_n,rate_bias_vs_n,r2_var,r2_bias
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1483242993,100,20,5,100.0,0.014411354586570942,-0.562035936588249,0.12004730145476383,0.4299526985452362,0.12802044521272862,-0.12004730145476383,1.0,0.0021461766686419045,-6.144067313538675,0.0,0.0,0.4299526985452362,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1501446711,100,20,5,100.0,0.0032074749024990387,-0.9330162604300455,0.05663457338498312,0.6066345733849832,0.12802044521272862,0.05663457338498312,1.0,0.002089571521532422,-6.170796247644433,1.0,1.0,0.6066345733849832,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1774090523,100,20,5,100.0,0.03959631960913166,-0.43234068281747706,0.1989882398764602,0.35101176012353985,0.12802044521272862,-0.1989882398764602,1.0,0.0019947679893039787,-6.217227531491456,0.0,0.0,0.35101176012353985,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1932065422,100,20,5,100.0,0.016628638210638473,-0.5465355730795084,0.12895207718621082,0.4210479228137892,0.12802044521272862,-0.12895207718621082,1.0,0.0021345584019963454,-6.149495491167807,0.0,0.0,0.4210479228137892,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1951270010,100,20,5,100.0,0.004359202686520376,-0.9571759010945605,0.0660242583185936,0.6160242583185936,0.12802044521272862,0.0660242583185936,1.0,0.002071264198613137,-6.179596134153147,1.0,1.0,0.6160242583185936,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,2026264742,100,20,5,100.0,0.018991516017512228,-0.5313520068525027,0.1378097094457144,0.41219029055428563,0.12802044521272862,-0.1378097094457144,1.0,0.002121623948573198,-6.155573470058877,0.0,0.0,0.41219029055428563,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,2113453261,100,20,5,100.0,0.001506786745089969,-0.5296392434506076,0.03881735108285944,0.4111826489171405,0.12802044521272862,0.03881735108285944,1.0,0.0021200654828951323,-6.156308302617164,1.0,1.0,0.5888173510828595,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,2218138053,100,20,5,100.0,0.014104896586385304,-1.1049242797231367,0.11876403742878272,0.6687640374287828,0.12802044521272862,0.11876403742878272,1.0,0.0019397434296912124,-6.245199567389553,0.0,0.0,0.6687640374287828,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,2441110842,100,20,5,100.0,0.003250487704756561,-0.4992049913692184,0.057013048548175016,0.39298695145182494,0.12802044521272862,0.057013048548175016,1.0,0.0020888634627007525,-6.171135158667876,1.0,1.0,0.6070130485481751,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,2513743671,100,20,5,100.0,0.008691961104761739,-0.7835768023407792,0.09323068756992914,0.5432306875699291,0.12802044521272862,-0.09323068756992914,1.0,0.002172776774537927,-6.131749309842443,0.0,1.0,0.4567693124300709,nan,nan,nan,nan
